test_id,fines_mass_g,bulk_nominal_g,t_min,H,T_C
F0.5,0.24,0.5,1,5.2,21
F0.5,0.24,0.5,2,5.1,21
F0.5,0.24,0.5,4,5.0,21
F0.5,0.24,0.5,8,4.6,21
F0.5,0.24,0.5,15,4.5,21
F0.5,0.24,0.5,30,4.5,21
F0.5,0.24,0.5,60,4.5,21
F0.5,0.24,0.5,240,5.0,21
F0.5,0.24,0.5,1440,4.2,21
F2,0.94,2,1,7.0,21
F2,0.94,2,2,6.5,21
F2,0.94,2,4,6.3,21
F2,0.94,2,8,6.1,21
F2,0.94,2,15,5.9,21
F2,0.94,2,30,5.7,21
F2,0.94,2,60,5.5,21
F2,0.94,2,240,5.5,21
F2,0.94,2,1440,5.2,21
F10,4.02,10,1,8.2,21
F10,4.02,10,2,7.6,21
F10,4.02,10,4,7.2,21
F10,4.02,10,8,7.0,21
F10,4.02,10,15,6.6,21
F10,4.02,10,30,6.1,21
F10,4.02,10,60,6.0,21
F10,4.02,10,240,6.1,21
F10,4.02,10,1440,5.3,21
F50,21.56,50,1,20,21
F50,21.56,50,2,15,21
F50,21.56,50,4,13,21
F50,21.56,50,8,10.5,21
F50,21.56,50,15,9.5,21
F50,21.56,50,30,8.2,21
F50,21.56,50,60,7.6,21
F50,21.56,50,240,7.0,21
F50,21.56,50,1440,6.0,21
