replicate,nominal_g,V_cyl_mL,D_cyl_mm,m_cyl_g,reading,mass_loose_g,V_loose_mL,mass_tap_g,V_tap_500,V_tap_750,V_tap_1250
R55_1,55,100,25,114.27,1,183.41,55,173.4,43,42,42
R55_1,55,100,25,114.27,2,181.2,53,173.27,42,42,41.5
R55_1,55,100,25,114.27,3,177.27,50,173.21,41,40,40
R55_1,55,100,25,114.27,4,174.87,49,173.18,41,40.5,40.4
R55_1,55,100,25,114.27,5,173.62,47,173.07,40.5,40.5,40
R55_2,55,100,25,114.27,1,167.85,43,164.42,37,37,35
R55_2,55,100,25,114.27,2,167.03,42.5,164.36,36.5,36.5,36
R55_2,55,100,25,114.27,3,166.25,42,164.33,36.5,36,36
R55_2,55,100,25,114.27,4,165.45,41.5,164.22,35,35,34.8
R55_2,55,100,25,114.27,5,164.42,41,164.17,35,35,34.5
R10_2_25mL,10,25,19,47.704,1,57.726,8.1,57.726,7.0,7.0,6.9
R10_2_25mL,10,25,19,47.704,2,57.752,8.1,57.736,7.3,7.0,7.0
R10_2_25mL,10,25,19,47.704,3,57.715,8.2,57.726,7.3,7.0,7.0
R10_2_25mL,10,25,19,47.704,4,57.707,8.1,57.713,7.3,7.0,7.0
R10_2_25mL,10,25,19,47.704,5,57.712,8.2,57.7,7.2,7.2,7.0
R10_3_25mL,10,25,19,47.704,1,57.679,8.0,57.564,7.0,7.0,6.7
R10_3_25mL,10,25,19,47.704,2,57.703,8.2,57.588,7.0,7.0,6.7
R10_3_25mL,10,25,19,47.704,3,57.66,8.2,57.574,7.3,7.0,7.0
R10_3_25mL,10,25,19,47.704,4,57.624,8.0,57.553,7.0,7.0,6.9
R10_3_25mL,10,25,19,47.704,5,57.564,8.2,57.53,7.0,7.0,6.8
R10_1_10mL,10,10,15,29.606,1,39.831,8.15,39.45,7.2,7.1,7.1
R10_1_10mL,10,10,15,29.606,2,39.831,8.2,39.322,7.1,7.1,6.9
R10_1_10mL,10,10,15,29.606,3,39.752,8.2,39.307,7.0,6.9,6.9
R10_1_10mL,10,10,15,29.606,4,39.612,8.17,39.315,7.0,6.8,6.7
R10_1_10mL,10,10,15,29.606,5,39.638,8.2,39.297,6.9,6.7,6.6
R2_1,2,10,15,29.606,1,31.772,1.8,31.722,1.4,1.36,1.3
R2_1,2,10,15,29.606,2,31.746,1.8,31.731,1.35,1.35,1.3
R2_1,2,10,15,29.606,3,31.74,1.75,31.723,1.35,1.35,1.3
R2_1,2,10,15,29.606,4,31.739,1.82,31.722,1.4,1.35,1.3
R2_1,2,10,15,29.606,5,31.73,1.85,31.717,1.4,1.35,1.35
R2_2,2,10,15,29.606,1,31.771,1.83,31.764,1.43,1.41,1.41
R2_2,2,10,15,29.606,2,31.784,1.85,31.758,1.55,1.5,1.42
R2_2,2,10,15,29.606,3,31.774,1.8,31.758,1.45,1.45,1.4
R2_2,2,10,15,29.606,4,31.773,1.8,31.763,1.5,1.5,1.45
R2_2,2,10,15,29.606,5,31.764,1.82,31.759,1.5,1.45,1.43
R2_3,2,10,15,29.606,1,31.703,1.85,31.66,1.37,1.37,1.37
R2_3,2,10,15,29.606,2,31.689,1.85,31.682,1.38,1.38,1.38
R2_3,2,10,15,29.606,3,31.676,1.8,31.682,1.36,1.36,1.36
R2_3,2,10,15,29.606,4,31.681,1.77,31.682,1.4,1.4,1.4
R2_3,2,10,15,29.606,5,31.66,1.75,31.673,1.38,1.37,1.37
