test_id,fraction,mass_g,temperature_C,rho_s_g_cm3,Gs
20A,Bulk,20.001,21.9,2.97026,2.97148
20B,Bulk,20.033,21.96,3.00531,3.0066
10A,Bulk,9.999,21.41,2.94954,2.95043
10B,Bulk,10.01,21.42,2.94323,2.94412
2A,Bulk,2.031,21.35,2.70358,2.70439
2B,Bulk,2.023,21.34,2.72198,2.72275
0.5A,Bulk,0.507,21.4,2.1386,2.13924
0.5B,Bulk,0.499,21.36,1.92606,1.92664
20C,>75 um,20.052,20.8,2.96051,2.96102
10C,>75 um,10.06,20.8,2.94102,2.94152
2C,>75 um,2.033,20.8,2.69941,2.69987
0.5C,>75 um,0.604,21.1,2.28735,2.28788
20D,<75 um,14.967,21.0,2.94738,2.948
10D,<75 um,9.846,21.2,2.95954,2.96031
2D,<75 um,2.042,21.2,2.82752,2.82825
0.5D,<75 um,0.594,21.1,2.091068,2.091549
