Test,Initial mass [g],Recovered mass [g],Loss [%],Passing 0.075 mm [%],D50 [mm],Max dev vs ref [pp],RMS dev vs ref [pp]
100W1,102.726,102.64,0.08,39.45,0.1015,0.23,0.13
100W2,99.553,99.65,-0.1,39.09,0.1028,0.23,0.13
50W1,48.931,48.834,0.2,40.12,0.0994,1.01,0.7
50W2,48.849,48.777,0.15,39.91,0.1,0.82,0.58
10W1,11.437,11.348,0.78,37.61,0.1032,1.66,0.76
10W2,10.225,9.91,3.08,39.76,0.1007,0.51,0.35
10W3,10.29,10.267,0.22,40.29,0.0991,1.12,0.87
2W1,2.19,2.154,1.64,42.43,0.0945,3.17,1.83
2W2,2.205,2.251,-2.09,40.47,0.098,1.68,1.04
2W3,2.085,2.036,2.35,39.59,0.1005,0.75,0.39
0.5W1,0.535,0.505,5.61,40.59,0.1016,2.89,1.45
0.5W2,0.626,0.624,0.32,39.1,0.1002,1.82,1.06
0.5W3,0.605,0.606,-0.17,38.94,0.1024,1.57,0.7
